province,kabupaten,flood_events_total,flood_deaths,flood_missing,flood_injured,flood_affected,flood_displaced,flood_houses_heavy,flood_houses_medium,flood_houses_light,flood_houses_flooded,year_first,year_last,years_active,flood_impact_score,flood_events_annual_avg,flood_frequency_category,forest_cover_2000_pct,forest_cover_2023_pct,forest_loss_pct,deforestation_rate_annual,palm_oil_pct,forest_to_palm_ratio,rainfall_annual_mean_mm,rainfall_wet_season_mm,rainfall_dry_season_mm,rainfall_extreme_days_avg,rainfall_max_daily_mm,rainfall_cv,island,flood_risk_label,flood_severity_index,deforestation_flood_product,palm_oil_flood_product,rainfall_flood_product,high_deforestation,high_palm_oil,high_extreme_rainfall,compound_risk_score,risk_category
Aceh,Aceh Barat,84.0,8,0,0,97874,5142,73,117,179,14377,2020,2025,6,17775.9,14.0,Very High,54.93428306022465,31.593454674278867,23.340828385945784,1.0148186254759037,42.953770762013846,1.3178649269084945,2987.0,1978.0666666666666,1008.9,19.5,93.63333333333333,0.22133333333333335,Sumatra,1,0.05294521319086654,326.771597403241,601.3527906681938,41.818,1,1,0,45.865691206287195,Medium
Aceh,Aceh Barat Daya,40.5,0,0,2,2461,173,49,4,51,1100,2020,2025,6,816.1,6.75,High,75.4605971281605,53.27043762484053,22.19015950331997,0.9647895436226073,25.31726086101639,0.4665018741147618,2926.7166666666667,1872.8333333333333,1053.8999999999999,16.333333333333332,154.73333333333332,0.25266666666666665,Sumatra,0,0.0024307398491815427,149.78357664740977,170.89151081186063,19.755337500000003,1,1,0,33.29191862180564,Low
Aceh,Aceh Besar,150.0,6,3,1,29956,1600,118,108,154,2745,2020,2025,6,5128.1,25.0,Very High,76.58425631014782,42.37503956031291,34.20921674983491,1.487357249992822,20.61051228130096,0.475169878580562,3074.4666666666667,1979.9166666666667,1094.5833333333333,19.333333333333332,86.35000000000001,0.2568333333333333,Sumatra,0,0.015273957873530045,855.2304187458727,515.2628070325239,76.86166666666666,1,0,0,43.47094865083127,Medium
Aceh,Aceh Jaya,71.0,0,0,0,56291,4906,6,84,16,16085,2020,2025,6,13671.6,11.833333333333334,Very High,55.85120087171929,36.41221318546884,19.438987686250453,0.8451733776630632,20.685404928594863,0.5529051389194268,3221.5333333333333,2187.1833333333334,1034.3666666666666,20.666666666666668,138.81666666666666,0.22833333333333336,Sumatra,1,0.04072062605326599,230.0280209539637,244.77729165503922,38.12147777777778,0,0,1,39.614158649134964,Low
Aceh,Aceh Selatan,106.5,3,6,1,97451,3572,26,16,55,18194,2020,2025,6,19452.1,17.75,Very High,49.839245431320684,47.79860836721426,2.0406370641064253,0.08872335061332284,0.0,0.0,2903.85,1898.4833333333333,1005.35,20.0,124.83333333333333,0.26333333333333336,Sumatra,1,0.05793774613437603,36.22130788788905,0.0,51.5433375,0,0,0,28.94552445256526,Low
Aceh,Aceh Singkil,55.0,0,0,0,166123,22626,10,5,13,15719,2020,2025,6,24471.8,9.166666666666666,Very High,33.754249415180546,20.908222859193632,12.846026555986914,0.5585228937385615,36.28494665190548,1.656225011271453,3187.933333333334,1988.4333333333334,1199.5,23.0,138.96666666666667,0.26899999999999996,Sumatra,1,0.07288883646759083,117.75524342988004,332.6120109758002,29.222722222222227,0,1,1,40.841711296439115,Medium
Aceh,Aceh Tamiang,39.0,48,0,6,420150,311923,46,20,41,38388,2020,2025,6,66069.0,6.5,High,26.839518489575777,18.787162905599278,8.0523555839765,0.35010241669463044,59.312975378431084,2.997548241827381,3196.9666666666667,2116.5333333333333,1080.3999999999999,19.333333333333332,167.56666666666666,0.24183333333333334,Sumatra,1,0.19678538303587223,52.34031129584724,385.534339959802,20.780283333333333,0,1,0,38.29950607535628,Low
Aceh,Aceh Tengah,100.0,26,23,4,58099,8645,196,66,120,2373,2020,2025,6,10786.400000000001,16.666666666666668,Very High,40.48447399026929,14.674135534014201,25.810338456255085,1.1221886285328297,1.5050362757308644,0.09602036887232525,2789.0833333333335,1867.3500000000001,921.7333333333332,15.166666666666666,126.96666666666665,0.27616666666666667,Sumatra,1,0.03212710735107437,430.17230760425144,25.083937928847742,46.484722222222224,1,0,0,34.438805050253684,Low
Aceh,Aceh Tenggara,74.0,21,2,10,56058,7085,611,1319,2387,7674,2020,2025,6,11742.8,12.333333333333334,Very High,34.11234550949635,7.781274432977959,26.33107107651839,1.1448291772399302,6.980128451553944,0.7948878610763108,3120.5166666666664,2023.3166666666668,1097.1833333333334,19.333333333333332,131.11666666666665,0.26733333333333337,Sumatra,1,0.03497572834330231,324.7498766103935,86.08825090249864,38.48637222222222,1,0,0,37.69990899139956,Low
Aceh,Aceh Timur,78.0,10,1,1,239245,129875,135,67,240,56460,2020,2025,6,53214.5,13.0,Very High,52.51396036691344,34.7216246459391,17.79233572097434,0.7735798139554061,24.166125004134464,0.6765124835071495,2876.6666666666665,1932.1000000000001,944.5500000000001,18.166666666666668,198.98333333333335,0.25333333333333335,Sumatra,1,0.15849847531463201,231.30036437266642,314.159625053748,37.39666666666666,0,0,0,38.948676411770364,Low
